"","x","y","z"
"1",0.00202624499797821,0.00202624499797821,0.00832364637452843
"2",-0.00175873935222626,-0.00175873935222626,0.00719965531414646
"3",-0.00154079496860504,-0.00154079496860504,0.00628962560489699
"4",-0.00388044118881226,-0.00388044118881226,0.0163235079653821
"5",-0.0027167797088623,-0.0027167797088623,0.011260163097536
"6",-0.0109213441610336,-0.0109213441610336,0.0500275961162697
"7",-0.002940833568573,-0.002940833568573,0.0122238490044606
"8",-0.011386826634407,-0.011386826634407,0.052440763899821
"9",-0.00875641405582428,-0.00875641405582428,0.039105006998057
"10",-0.00883354246616364,-0.00883354246616364,0.0394855751777397
