"","x","y","z"
"1",0,0,4.44089209850063e-16
"2",0,0,4.44089209850063e-16
"3",0,0,4.44089209850063e-16
"4",0,0,4.44089209850063e-16
"5",0,0,4.44089209850063e-16
"6",0,0,4.44089209850063e-16
"7",0,0,3.99680288865056e-15
"8",0,0,4.44089209850063e-16
"9",0,0,4.44089209850063e-16
"10",0,0,4.44089209850063e-16
"11",0,0,4.44089209850063e-16
"12",0,0,3.99680288865056e-15
"13",0,0,4.44089209850063e-16
"14",0,0,4.44089209850063e-16
"15",0,0,4.44089209850063e-16
"16",0,0,4.44089209850063e-16
"17",0,0,4.44089209850063e-16
"18",0,0,4.44089209850063e-16
"19",0,0,4.44089209850063e-16
"20",0,0,4.44089209850063e-16
"21",0,0,3.99680288865056e-15
"22",0,0,4.44089209850063e-16
"23",0,0,4.44089209850063e-16
"24",0,0,4.44089209850063e-16
"25",0,0,4.44089209850063e-16
"26",0,0,3.99680288865056e-15
"27",0,0,4.44089209850063e-16
"28",0,0,4.44089209850063e-16
"29",0,0,4.44089209850063e-16
"30",0,0,3.99680288865056e-15
"31",0,0,3.99680288865056e-15
"32",0,0,3.99680288865056e-15
"33",0,0,3.99680288865056e-15
"34",-1.46974349498232e-15,3.50139889112395e-15,1.11022302462516e-14
"35",0,0,4.44089209850063e-16
"36",9.32381296242656e-18,6.49611184713642e-17,4.44089209850063e-16
"37",0,0,4.44089209850063e-16
"38",0,0,4.44089209850063e-16
"39",0,0,3.99680288865056e-15
"40",0,0,3.99680288865056e-15
"41",0,0,2.88657986402541e-14
"42",-2.23917328665465e-16,-2.50141065521934e-16,4.44089209850063e-16
"43",0,0,2.53130849614536e-14
"44",0,0,7.60724816473157e-13
"45",-3.71109135491302e-13,-2.34438961374288e-12,6.711520228464e-12
"46",0,0,1.53210777398272e-13
"47",0,0,6.08402217494586e-14
"48",0,0,4.44089209850063e-16
"49",-6.49154333343461e-15,-3.69487711416956e-15,2.17603712826531e-14
"50",-3.87327134792669e-14,3.77451301736208e-15,1.10578213252666e-13
