"","x","y","z"
"1",7.03334808349609e-06,-2.98023223876953e-08,1.98864925917697e-05
"2",8.19563865661621e-06,5.96046447753906e-08,2.31626572753107e-05
"3",-6.64678628352245e-14,-2.37282487513078e-11,6.71147581954301e-11
"4",7.45058059692383e-08,0,2.080620693512e-07
"5",-0.00673468950112137,-1.81378676511443e-05,0.0202559627069658
"6",2.98023223876953e-08,9.83476638793945e-07,2.79077018250362e-06
"7",-1.14738941192627e-06,-0.000120490789413452,0.000341206795102966
"8",-1.95250520869148e-05,-3.86994029785109e-05,0.000122650894237797
"9",0.000349222654660131,2.09755021882188e-05,0.000992790150423861
"10",0,-4.4703483581543e-08,1.26203048456119e-07
"11",4.6367376527091e-07,-6.29139139223272e-06,1.78440637275123e-05
"12",1.95205211639404e-06,2.71201133728027e-06,9.43911763728877e-06
"13",7.70238828310326e-06,-1.42528666678122e-05,4.58302141592704e-05
"14",9.93907451629639e-06,-2.19196081161499e-05,6.80963234143128e-05
"15",-1.50501728057861e-06,3.69548797607422e-06,1.12857894767338e-05
"16",-2.47359275817871e-06,-3.53157520294189e-06,1.21998668949352e-05
"17",-5.37104248800711e-06,5.15084478272268e-06,2.10498569015449e-05
"18",-4.49866056442261e-05,-4.45097684860229e-05,0.000179113333836245
"19",-2.8271837254868e-05,1.29515845420686e-05,8.79821182455665e-05
"20",-4.62695277450157e-06,-1.66631248201112e-07,1.30960533835101e-05
"21",2.62409448623657e-05,7.41034746170044e-05,0.000222500923172664
"22",-2.16181569753848e-07,-4.86054665119035e-06,1.37619233631092e-05
"23",8.8343641451383e-05,7.2321847310978e-05,0.000323271843520434
"24",3.20227055866543e-05,2.35711693291183e-05,0.000112507338049017
"25",0.000225722789764404,4.63128089904785e-05,0.000653138002811193
"26",-6.82373765593111e-05,6.29825267738302e-06,0.000193949865778809
"27",-3.97017252292097e-06,1.96865601858279e-05,5.68137624097353e-05
"28",-3.46262093308819e-05,-1.98572196264664e-05,0.000112941799216504
"29",5.80250709706113e-07,-3.20712025694815e-05,9.07533026901497e-05
"30",-0.000139065892908197,-2.04288820964171e-06,0.000393895267777555
"31",-6.41290996545464e-05,-2.7873551971965e-05,0.000197907372815553
"32",-0.000111318485541488,-2.23966622254212e-05,0.000321508904097545
"33",8.18506692266281e-05,0.000279965648747689,0.000827276076599492
"34",-2.03991708792855e-05,6.02288963545677e-05,0.000179966423122568
"35",-1.16783610416359e-05,-1.83388797179203e-05,6.15072130334404e-05
"36",4.35060011729745e-05,2.87852579558071e-05,0.000147622137462111
"37",1.308991025383e-05,9.29618408154751e-06,4.54174167185961e-05
"38",-2.29924917221069e-05,0.000132828950881958,0.000381758303899193
"39",1.22039033809526e-05,-8.67198210643735e-07,3.46088746536743e-05
"40",9.63338134424275e-06,-0.000109926509081046,0.000312434986327492
"41",-1.0561824047174e-05,-1.61235865295913e-05,5.4527572349361e-05
"42",1.60205866994317e-05,-3.77794527324068e-06,4.6563165220892e-05
"43",4.33921813964844e-05,2.22623348236084e-05,0.000137998489667002
"44",-5.26605146495751e-05,-0.000331711866736151,0.000952976012076778
"45",-2.55703926086426e-05,-0.000304952263832092,0.00086803860468665
"46",-0.000113934278488159,6.85304403305054e-05,0.000376511095698806
"47",-0.000158856262188147,-0.000570304820632162,0.00168380677144997
"48",-5.28846122160084e-05,-0.000170297080795479,0.000505210704563996
"49",-4.31593811643706e-05,-2.81972039279594e-05,0.000145887493609553
"50",0.000226592399407009,0.000207916284177432,0.000872338067325007
