"","x","y","z"
"1",0,1.13248825073242e-06,3.20123620101143e-06
"2",0.00051465630531311,9.97632741928101e-05,0.00149007141693547
"3",0,0,1.25976118425797e-10
"4",1.49011611938477e-08,3.87430191040039e-07,1.10980174428121e-06
"5",-2.47806310653687e-05,0,7.01183914419978e-05
"6",-9.33855772018433e-05,0,0.000264381033347139
"7",-4.4703483581543e-08,1.8775463104248e-06,5.290673265268e-06
"8",-8.79168510437012e-07,0,2.48432589033953e-06
"9",0,-5.96046447753906e-08,1.76444345800775e-07
"10",1.40368938446045e-05,0,3.97115328536479e-05
"11",0,0,7.49723527704305e-09
"12",0,0.000202149152755737,0.000572846479095279
"13",0,0,7.46368744586334e-10
"14",5.85615634918213e-06,0,1.65618044687399e-05
"15",0,0,8.3869839961892e-09
"16",-5.96046447753906e-08,-5.96046447753906e-08,2.44216725509006e-07
"17",0,4.4703483581543e-08,1.35623594577083e-07
"18",0,0.00023353099822998,0.000661963428964629
"19",0,0,1.02053876460673e-09
"20",0,1.04308128356934e-07,3.15098525494051e-07
"21",0,8.46385955810547e-06,2.39523157365973e-05
"22",0,-5.48362731933594e-06,1.54930731750547e-05
"23",0,0,8.06747113557549e-10
"24",0.000355243682861328,0,0.00100813482725259
"25",0,0,5.24228216391975e-10
"26",0,0,1.22381083045298e-09
"27",1.9371509552002e-06,0,5.46485945251973e-06
"28",0,0,1.01180619438423e-09
"29",0,0,1.07648614466882e-08
"30",0,1.63912773132324e-07,4.72262855044647e-07
"31",0,0,6.0009774927039e-12
"32",0,0.00150966644287109,0.00433067704688428
"33",0.000217527151107788,0,0.000616523973701266
"34",5.33610582351685e-05,0,0.000150992756740909
"35",0,0,3.72760000644234e-09
"36",1.19209289550781e-07,0,3.50526967896059e-07
"37",1.48862600326538e-05,0,4.21306854225811e-05
"38",0,0,5.65786040240823e-09
"39",0,0,5.32768940075812e-10
"40",0,0,1.62412736592898e-08
"41",0,1.05947256088257e-05,2.99860723704803e-05
"42",0,1.35153532028198e-05,3.82407042960331e-05
"43",5.96046447753906e-08,0,1.5247060547452e-07
"44",0,0,6.50044462702226e-11
"45",-0.00857378542423248,0,0.0262065961179627
"46",0,0,4.81273021435413e-09
"47",0,0,2.99893443411747e-12
"48",0,0,5.58329960043125e-09
"49",0,0,5.87782711392038e-10
"50",2.07126140594482e-06,-2.75671482086182e-06,9.75530946378811e-06
